net	instance_name	print_name	bom_line_number	mfg	mpn	item_type	parent_instance	location_type	segment_group	segment_order	connector_group	channel_group	circuit_id	circuit_port_number	node_at_end_a	node_at_end_b	print_name_at_end_a	print_name_at_end_b	parent_csys_instance_name	parent_csys_outputcsys_name	translate_x	translate_y	rotate_csys	absolute_rotation	csys_children	cable_group	cable_container	cable_identifier	length	diameter	appearance	note_type	note_number	note_parent	note_text	note_affected_instances	lib_repo	lib_subpath	lib_desc	lib_latest_rev	lib_rev_used_here	lib_status	lib_releaseticket	lib_datestarted	lib_datemodified	lib_datereleased	lib_drawnby	lib_checkedby	project_editable_lib_modified	lib_build_notes	lib_tools	this_instance_mating_device_refdes	this_instance_mating_device_connector	this_instance_mating_device_connector_mpn	this_net_from_device_refdes	this_net_from_device_channel_id	this_net_from_device_connector_name	this_net_to_device_refdes	this_net_to_device_channel_id	this_net_to_device_connector_name	this_channel_from_device_refdes	this_channel_from_device_channel_id	this_channel_to_device_refdes	this_channel_to_device_channel_id	this_channel_from_channel_type	this_channel_to_channel_type	signal_of_channel_type	debug	debug_cutoff
	MIC2				sm58	device																			{}												/Users/kenyonshutt/Documents/GitHub/harnice/library_public	pro_audio/shure/	MICROPHONE, HANDHELD	1	1			9/21/25	10/23/25				False	[]	[]																	harnice:7 in <module>() -> cli.py:137 in main() -> system.py:137 in render() -> <frozen runpy>:287 in run_path() -> <frozen runpy>:98 in _run_module_code() -> <frozen runpy>:88 in _run_code() -> S01-rev1-feature_tree.py:25 in <module>() -> system_utils.py:575 in make_instances_from_bom() -> library_utils.py:243 in pull() -> instances_list.py:136 in new_instance()	 
	MIC3				sm58	device																			{}												/Users/kenyonshutt/Documents/GitHub/harnice/library_public	pro_audio/shure/	MICROPHONE, HANDHELD	1	1			9/21/25	10/23/25				False	[]	[]																	harnice:7 in <module>() -> cli.py:137 in main() -> system.py:137 in render() -> <frozen runpy>:287 in run_path() -> <frozen runpy>:98 in _run_module_code() -> <frozen runpy>:88 in _run_code() -> S01-rev1-feature_tree.py:25 in <module>() -> system_utils.py:575 in make_instances_from_bom() -> library_utils.py:243 in pull() -> instances_list.py:136 in new_instance()	 
	MIC100				sm58	device																			{}												/Users/kenyonshutt/Documents/GitHub/harnice/library_public	pro_audio/shure/	MICROPHONE, HANDHELD	1	1			9/21/25	10/23/25				False	[]	[]																	harnice:7 in <module>() -> cli.py:137 in main() -> system.py:137 in render() -> <frozen runpy>:287 in run_path() -> <frozen runpy>:98 in _run_module_code() -> <frozen runpy>:88 in _run_code() -> S01-rev1-feature_tree.py:25 in <module>() -> system_utils.py:575 in make_instances_from_bom() -> library_utils.py:243 in pull() -> instances_list.py:136 in new_instance()	 
	PREAMP1				726787	device																			{}												/Users/kenyonshutt/Documents/GitHub/harnice/library_public	pro_audio/applied_research_and_technology/	PREAMP, 2CH	1	1			9/21/25	11/4/25				False	[]	[]																	harnice:7 in <module>() -> cli.py:137 in main() -> system.py:137 in render() -> <frozen runpy>:287 in run_path() -> <frozen runpy>:98 in _run_module_code() -> <frozen runpy>:88 in _run_code() -> S01-rev1-feature_tree.py:25 in <module>() -> system_utils.py:575 in make_instances_from_bom() -> library_utils.py:243 in pull() -> instances_list.py:136 in new_instance()	 
	PREAMP2				726787	device																			{}												/Users/kenyonshutt/Documents/GitHub/harnice/library_public	pro_audio/applied_research_and_technology/	PREAMP, 2CH	1	1			9/21/25	11/4/25				False	[]	[]																	harnice:7 in <module>() -> cli.py:137 in main() -> system.py:137 in render() -> <frozen runpy>:287 in run_path() -> <frozen runpy>:98 in _run_module_code() -> <frozen runpy>:88 in _run_code() -> S01-rev1-feature_tree.py:25 in <module>() -> system_utils.py:575 in make_instances_from_bom() -> library_utils.py:243 in pull() -> instances_list.py:136 in new_instance()	 
	VOCAL1				sm58	device																			{}												/Users/kenyonshutt/Documents/GitHub/harnice/library_public	pro_audio/shure/	MICROPHONE, HANDHELD	1	1			9/21/25	10/23/25				False	[]	[]																	harnice:7 in <module>() -> cli.py:137 in main() -> system.py:137 in render() -> <frozen runpy>:287 in run_path() -> <frozen runpy>:98 in _run_module_code() -> <frozen runpy>:88 in _run_code() -> S01-rev1-feature_tree.py:25 in <module>() -> system_utils.py:575 in make_instances_from_bom() -> library_utils.py:243 in pull() -> instances_list.py:136 in new_instance()	 
	X1				tascam-db25	disconnect																			{}												/Users/kenyonshutt/Documents/GitHub/harnice/library_public	audio/	DSUB DISCONNECT, BALANCED AUDIO	1	1			9/25/25	10/23/25				False	[]	[]																	harnice:7 in <module>() -> cli.py:137 in main() -> system.py:137 in render() -> <frozen runpy>:287 in run_path() -> <frozen runpy>:98 in _run_module_code() -> <frozen runpy>:88 in _run_code() -> S01-rev1-feature_tree.py:25 in <module>() -> system_utils.py:575 in make_instances_from_bom() -> library_utils.py:243 in pull() -> instances_list.py:136 in new_instance()	 
	X2				tascam-db25	disconnect																			{}												/Users/kenyonshutt/Documents/GitHub/harnice/library_public	audio/	DSUB DISCONNECT, BALANCED AUDIO	1	1			9/25/25	10/23/25				False	[]	[]																	harnice:7 in <module>() -> cli.py:137 in main() -> system.py:137 in render() -> <frozen runpy>:287 in run_path() -> <frozen runpy>:98 in _run_module_code() -> <frozen runpy>:88 in _run_code() -> S01-rev1-feature_tree.py:25 in <module>() -> system_utils.py:575 in make_instances_from_bom() -> library_utils.py:243 in pull() -> instances_list.py:136 in new_instance()	 
	X3				tascam-db25	disconnect																			{}												/Users/kenyonshutt/Documents/GitHub/harnice/library_public	audio/	DSUB DISCONNECT, BALANCED AUDIO	1	1			9/25/25	10/23/25				False	[]	[]																	harnice:7 in <module>() -> cli.py:137 in main() -> system.py:137 in render() -> <frozen runpy>:287 in run_path() -> <frozen runpy>:98 in _run_module_code() -> <frozen runpy>:88 in _run_code() -> S01-rev1-feature_tree.py:25 in <module>() -> system_utils.py:575 in make_instances_from_bom() -> library_utils.py:243 in pull() -> instances_list.py:136 in new_instance()	 
/MIC_CABLE_1	MIC2.out1.node					node		node			MIC2.out1																																																									harnice:7 in <module>() -> cli.py:137 in main() -> system.py:137 in render() -> <frozen runpy>:287 in run_path() -> <frozen runpy>:98 in _run_module_code() -> <frozen runpy>:88 in _run_code() -> S01-rev1-feature_tree.py:76 in <module>() -> system_utils.py:150 in make_instances_for_connectors_cavities_nodes_channels_circuits() -> instances_list.py:136 in new_instance()	 
