net	circuit_id	signal	net_from_refdes	net_from_channel_id	net_from_connector_name	net_from_cavity	net_to_refdes	net_to_channel_id	net_to_connector_name	net_to_cavity	from_side_device_refdes	from_side_device_chname	to_side_device_refdes	to_side_device_chname	from_channel_type	to_channel_type
/MIC_CABLE_1	0	pos	MIC2	out1	out1	2	X2	ch0	A	24	MIC2	out1	PREAMP1	in2	(2, 'https://github.com/harnice/harnice')	(1, 'https://github.com/harnice/harnice')
/INPUT_SNK	1	pos	X2	ch0	B	24	X1	ch0	A	24	MIC2	out1	PREAMP1	in2	(2, 'https://github.com/harnice/harnice')	(1, 'https://github.com/harnice/harnice')
/OUTPUT_SNK	2	pos	X1	ch0	B	24	PREAMP1	in2	in2	2	MIC2	out1	PREAMP1	in2	(2, 'https://github.com/harnice/harnice')	(1, 'https://github.com/harnice/harnice')
/MIC_CABLE_1	3	neg	MIC2	out1	out1	3	X2	ch0	A	12	MIC2	out1	PREAMP1	in2	(2, 'https://github.com/harnice/harnice')	(1, 'https://github.com/harnice/harnice')
/INPUT_SNK	4	neg	X2	ch0	B	12	X1	ch0	A	12	MIC2	out1	PREAMP1	in2	(2, 'https://github.com/harnice/harnice')	(1, 'https://github.com/harnice/harnice')
/OUTPUT_SNK	5	neg	X1	ch0	B	12	PREAMP1	in2	in2	3	MIC2	out1	PREAMP1	in2	(2, 'https://github.com/harnice/harnice')	(1, 'https://github.com/harnice/harnice')
/INPUT_SNK	6	pos	MIC100	out1	out1	2	X1	ch1	A	10	MIC100	out1	PREAMP1	in1	(2, 'https://github.com/harnice/harnice')	(1, 'https://github.com/harnice/harnice')
/OUTPUT_SNK	7	pos	X1	ch1	B	10	PREAMP1	in1	in1	2	MIC100	out1	PREAMP1	in1	(2, 'https://github.com/harnice/harnice')	(1, 'https://github.com/harnice/harnice')
/INPUT_SNK	8	neg	MIC100	out1	out1	3	X1	ch1	A	23	MIC100	out1	PREAMP1	in1	(2, 'https://github.com/harnice/harnice')	(1, 'https://github.com/harnice/harnice')
/OUTPUT_SNK	9	neg	X1	ch1	B	23	PREAMP1	in1	in1	3	MIC100	out1	PREAMP1	in1	(2, 'https://github.com/harnice/harnice')	(1, 'https://github.com/harnice/harnice')
